,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
224,601888.SH,20210121,271.49,275.98,263,272,272.94,-0.94,-0.3444,196954.82,5298221.443
225,601888.SH,20210120,270.27,274.99,263,272.94,268.15,4.79,1.7863,140385.71,3800141.223
226,601888.SH,20210119,277.11,281.93,268,268.15,274.2,-6.05,-2.2064,135251.47,3693985.646
227,601888.SH,20210118,278.22,279,268,274.2,280.01,-5.81,-2.0749,173566.24,4748017.549
228,601888.SH,20210115,279.49,286.7,272.5,280.01,280.55,-0.54,-0.1925,151424.61,4237712.893
229,601888.SH,20210114,293.56,294.34,276.68,280.55,299.99,-19.44,-6.4802,240305.7,6809999.499
230,601888.SH,20210113,318,319,292.6,299.99,319.1,-19.11,-5.9887,181165.75,5483084.018
231,601888.SH,20210112,295.95,321.86,295.59,319.1,298.4,20.7,6.937,124107.66,3857765.101
232,601888.SH,20210111,290,306.08,284.1,298.4,291,7.4,2.543,170500.41,5065001.16
233,601888.SH,20210108,311,311.4,287,291,311,-20,-6.4309,196177.12,5823692.598
234,601888.SH,20210107,293.35,311,290,311,288,23,7.9861,151153.16,4534780.266
235,601888.SH,20210106,290,293.83,284.02,288,293.02,-5.02,-1.7132,126380.99,3640459.354
236,601888.SH,20210105,290,299.69,289,293.02,292.25,0.77,0.2635,118713.65,3480973.443
237,601888.SH,20210104,282,300.62,281.75,292.25,282.45,9.8,3.4696,140347.48,4127327.801
238,601888.SH,20201231,270.02,285.8,267.52,282.45,263.12,19.33,7.3465,147881.81,4111681.198
239,601888.SH,20201230,253.1,266.05,253.1,263.12,255.15,7.97,3.1237,112464.24,2941588.678
240,601888.SH,20201229,256,259,248.2,255.15,257.6,-2.45,-0.9511,98367.43,2498594.693
241,601888.SH,20201228,263.88,264.9,253.91,257.6,259,-1.4,-0.5405,102642,2644445.262
242,601888.SH,20201225,250,261.87,246,259,252.2,6.8,2.6963,92793.88,2375891.757
243,601888.SH,20201224,253,262.49,249.57,252.2,246.88,5.32,2.1549,126032.14,3222722.179
244,601888.SH,20201223,237,255.32,237,246.88,236.95,9.93,4.1908,170868.27,4243747.876
245,601888.SH,20201222,229.13,245.17,226.5,236.95,229.13,7.82,3.4129,161250.32,3806786.873
246,601888.SH,20201221,218,229.9,217,229.13,217.25,11.88,5.4684,121201.62,2735604.994
247,601888.SH,20201218,222.78,224.78,216.85,217.25,225.49,-8.24,-3.6543,114644.56,2510594.483
248,601888.SH,20201217,220.5,225.88,219,225.49,220.36,5.13,2.328,99744.41,2225424.381
249,601888.SH,20201216,220.5,223.3,217.2,220.36,218.38,1.98,0.9067,77984.2,1719934.554
250,601888.SH,20201215,214.06,219.7,212.55,218.38,213.6,4.78,2.2378,122133.98,2655271.358
251,601888.SH,20201214,205.81,216,203.01,213.6,206,7.6,3.6893,153766.28,3266180.639
252,601888.SH,20201211,210.88,210.88,202.67,206,207.8,-1.8,-0.8662,95330.17,1970732.703
253,601888.SH,20201210,204.24,209.37,201.12,207.8,202.33,5.47,2.7035,91149.46,1887302.313
254,601888.SH,20201209,207.83,209.35,202.22,202.33,208.03,-5.7,-2.74,73432.58,1508165.187
255,601888.SH,20201208,209.63,210.3,204.1,208.03,207.75,0.28,0.1348,84924.11,1761170.64
256,601888.SH,20201207,197,208.98,195.5,207.75,196.43,11.32,5.7629,178176.11,3645248.607
257,601888.SH,20201204,194,197.6,192.3,196.43,194.93,1.5,0.7695,73113.64,1429941.155
258,601888.SH,20201203,194.08,197.28,194.01,194.93,195.52,-0.59,-0.3018,57555.64,1126580.618
259,601888.SH,20201202,197.42,199.5,194.03,195.52,196,-0.48,-0.2449,60430.92,1187615.985
260,601888.SH,20201201,194,198.38,193.2,196,193.2,2.8,1.4493,87067.46,1711937.213
261,601888.SH,20201130,190.51,197.26,190.51,193.2,193.2,0,0,99384.51,1934284.196
262,601888.SH,20201127,190.33,193.88,188.2,193.2,191.25,1.95,1.0196,60681.29,1162208.528
263,601888.SH,20201126,188.51,197.8,188.51,191.25,189,2.25,1.1905,95083.33,1829455.143
264,601888.SH,20201125,194.93,195.45,189,189,193.39,-4.39,-2.27,79478.01,1525829.253
265,601888.SH,20201124,188.94,196.48,185.39,193.39,187.89,5.5,2.9272,136134.36,2619219.138
266,601888.SH,20201123,185,190.18,181.5,187.89,185,2.89,1.5622,124082.74,2317678.416
267,601888.SH,20201120,185.31,187.78,182.26,185,183.31,1.69,0.9219,89638.83,1665324.574
268,601888.SH,20201119,175.72,184.58,174,183.31,175.25,8.06,4.5991,159122.26,2890863.457
269,601888.SH,20201118,181.61,184.1,172.77,175.25,181,-5.75,-3.1768,180681.53,3192302.518
270,601888.SH,20201117,186.46,186.96,179.79,181,186.45,-5.45,-2.923,133218.5,2437431.884
271,601888.SH,20201116,189,189.9,184.1,186.45,192.5,-6.05,-3.1429,164874.77,3067825.647
